Strain,tokens
3Rd-Coast-Panama-Chunk,"['3rd', 'coast', 'panama', 'chunk', 'hybrid', 'energetic', 'happy', 'talkative', 'uplifted', 'pine', 'diesel', '3rd', 'coast', 'panama', 'chunk', 'bedford', 'grow', 'cross', 'east', 'coast', 'panama', 'chunk', 'panama', 'f7', 'x', 'deep', 'chunk', 'sour', 'diesel', 'vigorous', 'creates', 'dense', 'resinous', 'reek', 'pine', 'fuel', 'panama', 'chunk', 'potent', 'versatile', 'hybrid', 'provides', 'immediate', 'mood', 'elevation', 'stress', 'relief', 'ideal', 'long', 'day', 'varied', 'cerebral', 'physical', 'help', 'consumers', 'abate', 'anxiety', 'insomnia', 'tending', 'migraines', 'muscular', 'pain']"
501St-Og,"['501st', 'og', 'hybrid', 'relaxed', 'euphoric', 'sleepy', 'happy', 'talkative', 'earthy', 'pine', 'skunk', '501st', 'og', 'rare', 'dankness', 'indica', 'dominant', 'hybrid', 'crosses', 'skywalker', 'og', 'rare', 'dankness', '1', 'colorful', 'flowers', 'tinged', 'wide', 'spectrum', 'green', 'blue', 'red', 'purple', 'hues', 'deep', 'piney', 'kush', 'aroma', 'mixes', 'sweetness', 'grape', 'potent', 'indica', '501st', 'og', 'great', 'nighttime', 'help', 'pain', 'relief', 'trouble', 'sleeping']"
5Th-Element,"['5th', 'element', 'indica', 'relaxed', 'focused', 'euphoric', 'uplifted', 'aroused', 'earthy', 'woody', 'pine', 'elemental', 'crossed', 'blackberry', 'spark', 'og', 'create', 'impressive', '5th', 'element', 'huge', 'yields', 'sticky', 'feature', 'powerful', 'earthy', 'lemony', 'strong', 'good', 'mix', 'cerebral', 'body', 'highs']"
707-Headband,"['707', 'headband', 'hybrid', 'euphoric', 'happy', 'uplifted', 'talkative', 'creative', 'earthy', 'woody', 'pungent', 'emerged', 'humboldt', 'county', 'california', 'area', 'telephone', 'area', 'code', 'source', 'numerical', 'moniker', '-pron-', 'cross', 'sour', 'diesel', 'og', 'kush', 'master', 'kush', '707', 'headband', 'plants', 'flower', '9', '11', 'weeks', 'usually', 'large', 'yields', 'indica', 'dominant', 'hybrid', 'known', 'high', 'thc', 'levels', 'strong', '-pron-', 'balanced', 'leave', 'feeling', 'heady', 'creative', 'sleepy', '-pron-', 'treat', 'tension', 'anxiety']"
8-Ball-Kush,"['8', 'ball', 'kush', 'indica', 'relaxed', 'uplifted', 'happy', 'creative', 'euphoric', 'citrus', 'earthy', 'pine', 'barney', 'farm', '8', 'ball', 'kush', 'pure', 'indica', 'variety', 'descended', 'afghani', 'landrace', 'cannabis', 'varieties', 'come', 'hindu', 'kush', 'region', '8', 'ball', 'kush', 'large', 'amounts', 'crystal', 'resin', 'blanket', 'aroma', 'earthy', 'spicy', 'find', 'cerebrally', 'stimulating', 'average', 'indica', 'hardy', 'resilient', 'plant', '8', 'ball', 'kush', '50', '60', 'day', 'flowering', 'time', 'indoors', 'outdoor', 'gardens', 'finish', 'end', 'september']"
818-Og,"['818', 'og', 'indica', 'relaxed', 'happy', 'euphoric', 'giggly', 'sleepy', 'earthy', 'diesel', 'flowery', 'named', 'telephone', 'area', 'code', 'san', 'fernando', 'valley', 'los', 'angeles', '818', 'og', 'og', 'kush', 'popular', 'patients', 'treating', 'pain', 'loss', 'appetite', 'insomnia', 'confused', 'og', 'cut', 'named', 'locale', '818', 'og', 'fruity', 'different', 'sour', 'earthy', 'fuel', 'taste', 'found', 'sfv', 'og']"
831-Og,"['831', 'og', 'indica', '831', 'og', 'aka', 'santa', 'cruz', 'og', 'indica', 'dominant', 'developed', '831', 'organiks', 'created', 'crossing', 'rare', 'potent', 'inferno', 'f1', 'cut', 'west', 'coast', 'mainstay', 'sfv', 'og', 'combination', 'heavyweight', 'indicas', 'imbues', 'consumers', 'deep', 'relaxation', 'borders', 'sleepy', 'continued', 'consumption', 'aroma', 'pure', 'fuel', 'opens', 'notes', 'pine', 'earth', 'lemon', 'enjoy', 'near', 'end', 'day', 'beware', 'known', 'reach', '30', 'thc']"
9-Pound-Hammer,"['9', 'pound', 'hammer', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'hungry', 'earthy', 'sweet', 'berry', '9', 'pound', 'hammer', '80', 'indica', 'crosses', 'gooberry', 'hells', 'og', 'jack', 'ripper', 'dense', 'coated', 'resin', 'offering', 'sweet', 'grape', 'lime', 'true', 'indica', 'dominance', 'heavy', 'long', 'lasting', 'useful', 'pain', 'stress', 'relief', 'best', 'grown', 'indoors', '9', 'pound', 'hammer', 'deliver', 'heavy', 'yield', 'flowering', '50', '60', 'days']"
91-Krypt,"['91', 'krypt', 'indica', 'relaxed', 'euphoric', 'happy', 'hungry', 'uplifted', 'earthy', 'pungent', 'berry', '91', 'krypt', 'dna', 'genetics', 'potent', 'names', 'chemdawg', '91', 'stock', 'crossed', 'dna', 'famous', 'captain', 'krypt', 'og', 'created', 'high', 'potency', 'cannabis', 'consumers', 'emits', 'deep', 'dank', 'terpene', 'profile', 'fills', 'room', 'skunk', 'swampy', 'earth', 'thc', 'content', 'pushing', '20', 'average', 'enjoy', '91', 'krypt', 'stimulate', 'appetite', 'harnessing', 'body', 'relaxation']"
A-10,"['10', 'indica', 'relaxed', 'focused', 'happy', 'sleepy', 'uplifted', 'citrus', 'pungent', 'sweet', '10', 'earthy', 'hashy', 'taste', 'provides', 'heavy', 'body', 'stone', 'frequently', 'treat', 'insomnia', 'chronic', 'pain']"
A-Dub,"['dub', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'sleepy', 'diesel', 'pepper', 'earthy', 'coming', 'popular', 'sour', 'diesel', 'og', 'kush', 'chemdawg', 'family', 'tree', 'dub', 'solid', 'reputation', 'potency', 'hybrid', 'balanced', 'creating', 'euphoric', 'happy', 'buzz', 'great', 'influence', 'expressing', 'creativity', 'sour', 'double', 'sour', 'diesel', 'sour', 'bubble', 'cross', 'alien', 'dawg', 'alien', 'technology', 'crossed', 'chemdawg', 'birth', 'magnificent', 'flower']"
A-Train,"['train', 'hybrid', 'creative', 'euphoric', 'relaxed', 'happy', 'hungry', 'earthy', 'woody', 'citrus', 'train', 'hybrid', 'mazar', 'sharif', 'clone', 'arcata', 'e', '32', 'trainwreck', 'hybrid', 'classic', 'stoned', 'feeling', 'ready', 'smiles', 'munchies', 'jump', 'train']"
Acdc,"['acdc', 'hybrid', 'relaxed', 'happy', 'uplifted', 'focused', 'euphoric', 'earthy', 'pine', 'woody', 'acdc', 'sativa', 'dominant', 'phenotype', 'high', 'cbd', 'cannabis', 'cannatonic', 'remarkable', 'characteristic', 'acdc', 'thc', 'cbd', 'ratio', '1:20', 'meaning', 'induces', 'psychoactive', 'tests', 'acdc', 'cbd', 'content', 'high', '19', 'helps', 'patients', 'treat', 'pain', 'anxiety', 'epilepsy', 'multiple', 'sclerosis', 'negative', 'chemotherapy', 'intoxication']"
Ak-47,"['ak', '47', 'hybrid', 'happy', 'relaxed', 'uplifted', 'euphoric', 'energetic', 'earthy', 'pungent', 'woody', 'let', 'intense', 'fool', 'ak', '47', 'leave', 'relaxed', 'mellow', 'sativa', 'dominant', 'hybrid', 'delivers', 'steady', 'long', 'lasting', 'cerebral', 'buzz', 'keeps', 'mentally', 'alert', 'engaged', 'creative', 'social', 'activities', 'ak', '47', 'mixes', 'colombian', 'mexican', 'thai', 'afghani', 'varieties', 'bringing', 'complex', 'blend', 'ak', '47', 'scent', 'sour', 'earthy', 'sweet', 'floral', 'notes', 'fully', 'realized', 'taste', 'created', '1992', 'ak', '47', 'won', 'numerous', 'cannabis', 'cup', 'awards', 'world', 'soaring', 'thc', 'content', 'hoping', 'fill', 'gardens', 'resinous', 'skunky', 'hybrid', 'growers', 'recommend', 'indoor', 'environment', 'soil', 'hydroponic', 'setups', 'ak', '47', 'easy', 'grow', 'short', 'indoor', 'flowering', 'time', '53', '63', 'days', 'outdoor', 'plants', 'typically', 'finish', 'end', 'october']"
Ak-48,"['ak', '48', 'hybrid', 'happy', 'energetic', 'uplifted', 'creative', 'relaxed', 'earthy', 'pungent', 'citrus', 'hybrid', 'ak', '48', 'high', 'leans', 'typical', 'sativa', 'ak', '48', 'parents', 'ice', 'jock', 'horror', 'ice', 'mother', 'ancestors', 'afghani', 'skunk', 'northern', 'lights', 'shiva', 'stock']"
Aberdeen,"['aberdeen', 'hybrid', 'uplifted', 'euphoric', 'giggly', 'energetic', 'sleepy', 'menthol', 'blue', 'cheese', 'chemical', 'aberdeen', 'variety', 'agent', 'orange', 'grown', 'canadian', 'lp', 'aphria', 'agent', 'orange', 'aberdeen', 'genetics', 'orange', 'velvet', 'jack', 'ripper', 'create', 'mix', 'sweet', 'orange', 'citrus', 'happy', 'uplifting', 'aberdeen', 'mirror', 'agent', 'orange', 'regularly', 'prescribed', 'anxiety', 'migraines', 'gastrointestinal', 'disorder']"
Abusive-Og,"['abusive', 'og', 'indica', 'relaxed', 'euphoric', 'sleepy', 'happy', 'giggly', 'earthy', 'pine', 'diesel', 'popular', 'californian', 'cut', 'og', 'kush', 'abusive', 'og', 'indica', 'inherited', 'nickname', 'original', 'grower', 'despite', 'violent', 'abusive', 'og', 'ease', 'peaceful', 'state', 'mind', 'fades', 'time', 'body', 'relaxation', 'true', 'og', 'genetics', 'abusive', 'og', 'earthy', 'spice', 'aroma', 'subtle', 'lemon', 'undertones', 'patients', 'mind', 'mental', 'haziness', 'choose', 'remedy', 'pain', 'anxiety', 'appetite', 'loss', 'sleeplessness', 'end', 'day', 'abusive', 'og', 'highest', 'yields', 'garden', 'makes', 'resin', 'caked']"
Acapulco-Gold,"['acapulco', 'gold', 'sativa', 'happy', 'uplifted', 'euphoric', 'energetic', 'relaxed', 'earthy', 'sweet', 'pungent', 'known', 'acapulco', 'gold', 'likened', 'dinner', 'star', 'restaurant', 'comes', 'areas', 'acapulco', 'mexico', 'orange', 'hairs', 'resemble', 'gold', 'nugget', 'gold', 'green', 'brown', 'colors', 'resin', 'collecting', 'aroma', 'burnt', 'toffee', 'lingers', 'broken', 'acapulco', 'gold', 'reputation', 'best', 'cannabis', 'created', 'difficult', 'find', 'growers', 'moving', 'indoors']"
Ace-Killer-Og,"['ace', 'killer', 'og', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'uplifted', 'earthy', 'diesel', 'spicy', 'herbal', 'ace', 'killer', 'og', 'indica', 'boasts', 'high', 'thc', 'content', 'pungent', 'diesel', 'aroma', 'white', 'fire', 'og', 'king', 'kush', 'kosher', 'kush', 'mystery', 'ace', 'killer', 'og', 'inherits', 'heavy', 'blanket', 'snow', 'resin', 'hard', 'hitting', 'stupefy', 'seasoned', 'veteran']"
Ace-Of-Spades,"['ace', 'spades', 'indica', 'relaxed', 'euphoric', 'happy', 'sleepy', 'hungry', 'earthy', 'sweet', 'woody', 'ace', 'spades', 'creation', 'tga', 'subcool', 'takes', 'advantage', 'popular', 'sweet', 'sour', 'combination', 'goes', 'style', 'crossbreed', 'black', 'cherry', 'soda', 'jack', 'ripper', 'earthy', 'berry', 'citrus', 'carries', 'taste', 'distinctly', 'lemony', 'ace', 'spades', 'plants', 'grow', 'fast', 'need', 'lot', 'space', 'bushy', 'tall', 'flowering', 'occurs', '8', 'weeks', 'generally', 'large', 'heavy', 'pretty', 'look', 'range', 'colors', 'include', 'purples', 'blues', 'pinks', 'coated', 'orange', 'hairs']"
Aceh,"['aceh', 'sativa', 'creative', 'euphoric', 'talkative', 'energetic', 'happy', 'earthy', 'mango', 'lemon', 'aceh', 'called', 'atjeh', 'sativa', 'varieties', 'cannabis', 'come', 'aceh', 'region', 'indonesia', 'sativas', 'typically', 'grow', 'tall', 'thin', 'considered', 'finest', 'indonesia', 'landrace', 'varieties']"
Acid,"['acid', 'hybrid', 'creative', 'happy', 'euphoric', 'energetic', 'uplifted', 'lemon', 'diesel', 'earthy', 'acid', 'paradise', 'original', 'new', 'york', 'sour', 'diesel', 'expect', 'powerful', 'body', 'uplifted', 'nearly', 'psychedelic', 'mental', 'energy', 'plant', 'exhibits', 'metallic', 'representative', 'namesake', 'traditional', 'notes', 'gas', 'nose', 'acid', 'thrives', 'indoor', 'outdoor', 'environments', 'finishing', '9', '10', 'weeks']"
Acid-Dough,"['acid', 'dough', 'sativa', 'talkative', 'giggly', 'happy', 'hungry', 'relaxed', 'acid', 'dough', 'ripper', 'sativa', 'dominant', 'energetic', 'created', 'crossing', 'lilly', 'queen', 'mother', 'x', 'congo', 'x', 'og', 'badazz', 'sweet', 'candy', 'aromas', 'bright', 'pineapple', 'generous', 'yield', 'acid', 'dough', 'approximate', '65', '70', 'day', 'flowering', 'time', 'colorful', 'foliage', 'responds', 'cold', 'temperatures', 'finishing', 'process', 'creating', 'deep', 'violet', 'hues', 'extra', 'resin', 'production', 'acid', 'dough', 'won', '2nd', 'place', 'best', 'sativa', '2017', 'spannabis', 'champions', 'cups', '2nd', 'place', '2016', 'expogrow', 'cup']"
Afcrack,"['afcrack', 'hybrid', 'tingly', 'euphoric', 'happy', 'relaxed', 'uplifted', 'sweet', 'flowery', 'earthy', 'afcrack', 'cannabis', 'speedball', 'sorts', 'incorporates', 'afgoo', 'green', 'crack', 'polar', 'opposites', 'spectrum', 'indica', 'sativa', 'varieties', 'create', 'pseudo', 'sedative', 'experience', 'rests', 'muscles', 'invigorating', 'heart', 'mind', 'spicy', 'earth', 'notes', 'indicate', 'afghani', 'heritage', 'hybrid', 'situation', 'specific', 'energy', 'sedation', 'depending', 'consumer', 'level', 'activity']"
Afghan-Big-Bud,"['afghan', 'big', 'indica', 'euphoric', 'happy', 'relaxed', 'sleepy', 'talkative', 'pungent', 'lemon', 'peach', 'spawn', 'afghani', 'big', 'afghan', 'big', 'big', 'afghani', 'characterized', 'large', 'plant', 'broad', 'leaves', 'thick', 'dense', 'appearance', 'similar', 'big', 'maintains', 'taste', 'afghani', 'resulting', 'best', 'worlds', 'come', 'relatively', 'quick', 'usually', 'dissipate', 'hours']"
Afghan-Cow,"['afghan', 'cow', 'sativa', 'focused', 'uplifted', 'happy', 'euphoric', 'talkative', 'sweet', 'vanilla', 'sweet', 'smelling', 'resinous', 'sativa', 'dr', 'krippling', 'sure', 'couch', 'afghan', 'cow', 'ash', 'kaya', '47', 'ak', '47', 'phenotype', 'beloved', 'kali', 'mist', 'cerebral', 'sativa', 'great', 'clear', 'headed', 'daytime', 'use', 'having', 'high', 'yield', 'indoors', 'impressive', 'plant', 'impressive']"
Afghan-Diesel,"['afghan', 'diesel', 'hybrid', 'euphoric', 'relaxed', 'uplifted', 'happy', 'creative', 'earthy', 'diesel', 'chemical', 'afghan', 'diesel', 'hybrid', 'aroma', 'similar', 'grapefruit', 'citrus', 'fruit', 'taste', 'described', 'light', 'sweet', 'cerebral', 'body', 'plant', 'characterized', 'having', 'dark', 'green', 'leaves', 'purple', 'colored']"
Afghan-Hawaiian,"['afghan', 'hawaiian', 'indica', 'tingly', 'sleepy', 'relaxed', 'energetic', 'aroused', 'nutty', 'earthy', 'chestnut', 'afghan', 'hawaiian', 'indica', 'dominant', 'hybrid', 'uk', 'cheese', 'lavender', 'canadian', 'lp', 'organigram', 'inc', 'sweet', 'mix', 'earthy', 'cheese', 'hints', 'licorice', 'caramel', 'undertones', 'rush', 'euphoria', 'levels', 'deep', 'relaxation', 'organigram', 'classifies', 'afghan', 'hawaiian', 'nds', 'varieties', 'recommend', 'neurological', 'disorders', 'spasticity']"
Afghan-Haze,"['afghan', 'haze', 'hybrid', 'sleepy', 'relaxed', 'giggly', 'happy', 'creative', 'earthy', 'flowery', 'tea', 'afghan', 'haze', 'sativa', 'dominant', 'hybrid', 'resinous', 'afghani', 'indica', 'sweet', 'smelling', 'haze', 'sativa', 'created', 'sensi', 'breeder', 'nevil', 'schoenmaker', 'shantibaba', 'mr', 'nice', 'afghan', 'haze', 'balances', 'energizing', 'cerebral', 'invigoration', 'soothing', 'body', 'clear', 'headed', 'relief', 'allows', 'patients', 'treat', 'pain', 'depression', 'appetite', 'loss', 'day', 'heavier', 'doses', 'help', 'ease', 'mind', 'body', 'peaceful', 'sleep', 'afghan', 'haze', 'excruciatingly', 'long', 'indoor', 'flowering', 'time', '10', 'weeks', 'large', 'harvests', 'potent', 'crystal', 'covered', 'worth', 'waiting']"
Afghan-Kush,"['afghan', 'kush', 'indica', 'relaxed', 'sleepy', 'happy', 'hungry', 'euphoric', 'earthy', 'flowery', 'woody', 'afghan', 'kush', 'roots', 'trace', 'hindu', 'kush', 'mountain', 'range', 'near', 'afghanistan', 'pakistan', 'border', 'genotype', 'perfected', 'centuries', 'ultimate', 'source', 'hash', 'charas', 'sticky', 'black', 'afghani', 'hash', 'white', 'label', 'company', 'sensi', 'partner', 'netherlands', 'available', 'grow', 'afghan', 'kush', 'develop', 'massive', 'blunt', 'topped', 'nuggets', 'resin', 'pure', 'indica', 'goodness', 'heavy', 'yield', 'revered', 'heavy', 'resin', 'content', 'powerfully', 'sedating', 'afghan', 'kush', 'choice', 'looking', 'relax', 'long', 'day']"
Afghan-Skunk,"['afghan', 'skunk', 'indica', 'sleepy', 'relaxed', 'happy', 'hungry', 'giggly', 'skunk', 'woody', 'sweet', 'popular', 'classic', 'originally', 'developed', 'united', 'states', 'cross', 'pure', 'indica', 'genetics', 'afghani', 'durable', 'genes', 'skunk', 'plants', 'afghan', 'skunk', 'quickly', 'spread', 'amsterdam', 'considered', 'classics', 'resilient', 'skunk', 'genes', 'plant', 'popular', 'recommendation', 'new', 'growers', 'legendary', 'high', 'yields', 'favorite', 'flowering', 'happens', '8', 'weeks', 'menthol', 'combined', 'sweet', 'stink', 'skunks', 'known', 'tests', 'shown', 'thc', 'levels', '17', 'stink', 'thing', 'potent', 'afghan', 'skunk']"
Afghan-Sour-Kush,"['afghan', 'sour', 'kush', 'indica', 'hungry', 'relaxed', 'aroused', 'sleepy', 'euphoric', 'earthy', 'diesel', 'pungent', 'afghan', 'sour', 'kush', 'mtg', 'indica', 'dominant', 'cross', 'afghani', 'sour', 'kush', 'heavy', 'relaxing', 'ushered', 'sweet', 'berry', 'aroma', 'sharp', 'spicy', 'typical', 'kush', 'varieties', 'stout', 'sturdy', 'afghan', 'sour', 'kush', 'plants', 'tight', 'internodal', 'spacing', 'finish', 'flowering', '60', 'days']"
Afghan-Widow,"['afghan', 'widow', 'hybrid', 'creative', 'energetic', 'euphoric', 'focused', 'uplifted', 'flowery', 'diesel', 'sweet', 'afghan', 'widow', 'deep', 'relaxing', 'qualities', 'immediately', 'envelop', 'body', 'calming', 'aura', 'mid', 'level', 'sedation', 'pleasant', 'debilitating', 'continued', 'consumption', 'yield', 'benefits', 'patients', 'treating', 'insomnia', 'nausea', 'physical', 'discomfort', 'cancer', 'treatment', 'afghan', 'widows', 'common', 'sense', 'cross', 'afghan', 'kush', 'white', 'widow']"
Afghani,"['afghani', 'indica', 'relaxed', 'sleepy', 'happy', 'euphoric', 'hungry', 'earthy', 'sweet', 'pine', 'afghani', 'heavy', 'indica', 'named', 'geographic', 'origin', 'earliest', 'varieties', 'cannabis', 'believed', 'grown', 'breeders', 'worldwide', 'come', 'treasure', 'afghani', 'heavy', 'resin', 'production', 'passed', 'genetically', 'sweet', 'earthy', 'aroma', 'afghani', 'delivers', 'deep', 'sedating', 'relaxation', 'euphoria', 'patients', 'commonly', 'turn', 'potent', 'indica', 'treat', 'insomnia', 'pain', 'stress', 'disorders']"
Afgahni-Bullrider,"['afgahni', 'bullrider', 'indica', 'focused', 'uplifted', 'happy', 'creative', 'relaxed', 'lemon', 'citrus', 'sweet', 'myths', 'circulating', 'original', 'appearance', 'blew', 'san', 'diego', 'spreading', 'rest', 'west', 'coast', 'afghani', 'bullrider', 'pretty', 'look', 'light', 'green', 'covered', 'orange', 'hair', 'strong', 'sweet', 'sour', 'piney', 'freshness', 'heavy', 'hitter', 'delivers', 'strong', 'body', 'sedative', 'indicas', 'heads', 'straight', 'brain', 'boost', 'creative', 'thoughts', 'providing', 'physical', 'relaxation', 'high', 'levels', 'thc', 'cbd', 'afghani', 'bullrider', 'recommended', 'chronic', 'pain', 'insomnia', 'anxiety']"
Afghani-Cbd,"['afghani', 'cbd', 'indica', 'relaxed', 'happy', 'sleepy', 'tingly', 'creative', 'flowery', 'chemical', 'spicy', 'herbal', 'afghani', 'cbd', 'high', 'cbd', 'variant', 'landrace', 'indica', 'afghani', 'grown', 'canadian', 'lp', 'tilray', 'named', 'geographic', 'origin', 'afghani', 'cbd', 'relaxing', 'therapeutic', 'properties', 'shown', 'potential', 'help', 'suffering', 'insomnia', 'chronic', 'pain', 'stress', 'disorders']"
Afghanica,"['afghanica', 'hybrid', 'relaxed', 'sleepy', 'happy', 'hungry', 'euphoric', 'sweet', 'flowery', 'skunk', 'afghanica', 'created', 'flying', 'dutchmen', 'taste', 'form', 'typical', 'afghani', 'varieties', 'coupled', 'yield', 'vigor', 'general', 'potency', 'true', 'skunks', 'pleasure', 'grow', 'consume', 'cherished', 'medical', 'applications', 'pain', 'relief', 'insomnia', 'heavy', 'physical', 'characteristics', 'lent', 'mother', 'afghani', '1']"
